"created_at","retweet_count","is_quote","reply_to_screen_name","source","favourites_count","followers_count","friends_count","listed_count","statuses_count","verified","popular"
2018-05-28 11:00:17,0,FALSE,"_Hurtad02","Twitter Web Client",1177,789,557,0,24448,FALSE,FALSE
2018-05-28 11:25:34,0,FALSE,,"Twitter Lite",169,381,425,6,5696,FALSE,FALSE
2018-05-28 10:37:01,0,FALSE,,"Google",243,392,1488,0,4342,FALSE,FALSE
2018-05-28 09:15:05,0,FALSE,,"Sprout Social",452,16396,147,74,18913,TRUE,FALSE
2018-05-28 09:45:36,0,FALSE,,"Twitter for iPhone",137,199,130,4,57460,FALSE,FALSE
2018-05-28 11:13:27,0,FALSE,,"Google",519,150,150,0,16177,FALSE,FALSE
2018-05-28 10:02:10,0,FALSE,,"Twitter Web Client",855,1229,450,20,19821,FALSE,FALSE
2018-05-28 09:14:52,1,FALSE,,"Twitter for Android",3164,4479,263,48,11024,FALSE,TRUE
2018-05-28 09:26:39,0,FALSE,"miladyssoto","Twitter for iPhone",197,83,153,0,208,FALSE,FALSE
2018-05-28 09:51:26,0,FALSE,,"Twitter Web Client",3499,220,128,6,14386,FALSE,FALSE
2018-05-28 09:58:05,0,FALSE,,"Hootsuite",148,68,150,3,53,FALSE,FALSE
2018-05-28 09:11:22,0,FALSE,,"Twitter for Android",5204,1053,1047,229,19026,FALSE,FALSE
2018-05-28 10:06:16,2,FALSE,"YamilRPP","Twitter for Android",534,352,821,21,2963,FALSE,TRUE
2018-05-28 11:23:09,0,FALSE,"carlosplus","Twitter Lite",46951,1217,412,26,33655,FALSE,FALSE
2018-05-28 11:25:37,0,FALSE,"ultimatefutweb","Twitter for Android",3853,233,878,6,20844,FALSE,FALSE
2018-05-28 09:17:50,0,FALSE,,"Twitter Web Client",3799,233,853,5,4377,FALSE,FALSE
2018-05-28 11:04:51,0,FALSE,"Guega16","Twitter for Android",229,203,287,1,1946,FALSE,FALSE
2018-05-28 10:17:56,0,FALSE,,"Twitter Web Client",19257,1202,914,30,15645,FALSE,FALSE
2018-05-28 10:40:43,23,FALSE,,"Twitter Web Client",218,2057555,378,2668,12157,TRUE,TRUE
2018-05-28 09:52:03,0,FALSE,"NebilimKH","Twitter for Android",31830,433,511,36,171342,FALSE,FALSE
2018-05-28 10:56:25,0,FALSE,"a3hmax1","Twitter Lite",2449,886,2130,2,5004,FALSE,FALSE
2018-05-28 11:01:00,5,FALSE,,"TweetDeck",948,3560376,1068,4849,256076,TRUE,TRUE
2018-05-28 09:31:00,4,FALSE,,"TweetDeck",948,3560376,1068,4849,256076,TRUE,TRUE
2018-05-28 10:42:46,0,FALSE,"YolandaNeed","Twitter for Android",4320,95,660,1,2177,FALSE,FALSE
2018-05-28 11:19:25,1,FALSE,,"Twitter Web Client",567,487,415,8,5574,FALSE,TRUE
2018-05-28 11:00:01,0,FALSE,,"Twitter for Android",268,81,300,1,770,FALSE,FALSE
2018-05-28 11:04:32,3,FALSE,,"Google",13123,339730,384,156,47002,TRUE,TRUE
2018-05-28 10:00:00,0,FALSE,,"TweetDeck",93,141910,478,1781,77550,TRUE,FALSE
2018-05-28 10:15:17,1,FALSE,,"Facebook",305,5433,3993,25,6795,FALSE,TRUE
2018-05-28 10:15:08,0,FALSE,,"Hootsuite Inc.",305,5433,3993,25,6795,FALSE,FALSE
2018-05-28 11:10:32,0,FALSE,,"Twitter Web Client",41,6738,707,159,62422,FALSE,FALSE
2018-05-28 10:01:36,0,FALSE,,"IFTTT",2,541,310,36,225222,FALSE,FALSE
2018-05-28 11:17:56,0,FALSE,,"Google",237652,2931,1304,282,893233,FALSE,FALSE
2018-05-28 11:04:32,0,FALSE,,"Google",182,63,481,1,3586,FALSE,FALSE
2018-05-28 10:08:41,0,TRUE,,"Twitter for iPhone",2411,197,75,1,4517,FALSE,FALSE
2018-05-28 09:00:02,0,FALSE,,"TweetDeck",1644,10042,487,30,6499,FALSE,FALSE
2018-05-28 09:39:00,4,FALSE,,"Twitter for iPhone",932,10580,692,75,21661,FALSE,TRUE
2018-05-28 10:43:17,0,FALSE,,"dlvr.it",608,268,296,5,565,FALSE,FALSE
2018-05-28 11:26:37,0,FALSE,"gon2146","Twitter for Android",1589,147,356,0,1346,FALSE,FALSE
2018-05-28 10:49:00,0,FALSE,,"Media Studio",2782,28543,846,165,148001,TRUE,FALSE
2018-05-28 11:13:07,0,FALSE,"Billiegon","Twitter Web Client",16499,992521,482,593,64022,TRUE,FALSE
2018-05-28 09:33:17,0,FALSE,"Miguelgarayo2","Twitter for Android",450,137,985,0,1548,FALSE,FALSE
2018-05-28 10:07:14,0,FALSE,"zTeempeer","Twitter for iPhone",73134,731,628,10,37220,FALSE,FALSE
2018-05-28 10:38:10,0,FALSE,"DamelioEsteban","Twitter Web Client",8803,68604,302,166,27618,FALSE,FALSE
2018-05-28 11:16:07,0,FALSE,"ultimatefutweb","Twitter Web Client",8803,68604,302,166,27618,FALSE,FALSE
2018-05-28 10:47:03,0,FALSE,"IvanGV08","Twitter Web Client",8803,68604,302,166,27618,FALSE,FALSE
2018-05-28 10:24:05,0,FALSE,,"Twitter for iPhone",2884,229,320,0,3652,FALSE,FALSE
2018-05-28 09:17:06,4,FALSE,,"Twitter for Android",3533,4930,3204,65,23835,FALSE,TRUE
2018-05-28 11:07:28,0,FALSE,,"Twitter for iPad",38576,1565,455,7,45418,FALSE,FALSE
2018-05-28 09:02:58,3,FALSE,,"dlvr.it",3085,73985,910,474,193912,TRUE,TRUE
