"created_at","retweet_count","is_quote","reply_to_screen_name","source","favourites_count","followers_count","friends_count","listed_count","statuses_count","verified","popular"
2018-05-28 09:40:43,0,FALSE,,"Google",24,15,65,0,246,FALSE,FALSE
2018-05-28 10:27:13,0,FALSE,,"Twitter Web Client",2528,44,139,0,578,FALSE,FALSE
2018-05-28 11:24:19,0,FALSE,,"Twitter Web Client",263,23651,195,44,46331,FALSE,FALSE
2018-05-28 10:35:59,0,FALSE,"josevil72870303","Twitter Web Client",2602,24,195,1,1511,FALSE,FALSE
2018-05-28 10:47:10,0,FALSE,,"Facebook",37,147,610,15,1783,FALSE,FALSE
2018-05-28 11:20:00,1,FALSE,,"TweetDeck",1244,41543,2204,495,107397,FALSE,TRUE
2018-05-28 10:50:02,0,FALSE,,"Twitter for Android",198,539,402,6,1081,FALSE,FALSE
2018-05-28 09:24:57,6,FALSE,,"Twitter for iPad",83,22436,245,179,28753,FALSE,TRUE
2018-05-28 10:41:19,0,FALSE,"roblesvicente","Twitter for Android",11294,319,966,4,5512,FALSE,FALSE
2018-05-28 10:56:56,0,FALSE,,"dlvr.it",245,3634,800,19,3050,FALSE,FALSE
2018-05-28 11:18:56,0,FALSE,"PacoFernndez1","Twitter for Android",724,89,41,0,341,FALSE,FALSE
2018-05-28 11:14:23,0,FALSE,"Crus_ccf","Twitter for Android",2400,534,367,5,9773,FALSE,FALSE
2018-05-28 09:29:06,0,FALSE,,"PlayStation(R)4",94045,362,281,6,45392,FALSE,FALSE
2018-05-28 09:40:18,0,FALSE,,"dlvr.it",0,139,2,13,9877,FALSE,FALSE
2018-05-28 09:01:00,28,FALSE,,"TweetDeck",948,3560376,1068,4849,256076,TRUE,TRUE
2018-05-28 11:24:08,0,FALSE,,"Fenix for Android",37,201,159,3,8922,FALSE,FALSE
2018-05-28 09:25:03,0,FALSE,,"Hootsuite Inc.",92,737,172,21,18012,FALSE,FALSE
2018-05-28 10:15:06,0,FALSE,"oldemarchacon","Twitter for iPhone",1029,2428,62,11,2149,FALSE,FALSE
2018-05-28 09:56:24,1,FALSE,,"Twitter for iPhone",5737,539,377,5,19774,FALSE,TRUE
2018-05-28 09:58:27,0,FALSE,"Saselandia","Twitter for Android",2415,55,145,0,2961,FALSE,FALSE
2018-05-28 10:24:52,0,FALSE,"calbert57","Twitter for Android",19,1,106,0,35,FALSE,FALSE
2018-05-28 09:04:18,0,FALSE,,"Google",91,5,69,0,1935,FALSE,FALSE
2018-05-28 10:47:29,0,FALSE,"wannerpinto","Twitter for iPhone",8967,4661,806,30,36940,FALSE,FALSE
2018-05-28 09:57:10,0,FALSE,,"Twitter Web Client",0,44,220,0,113,FALSE,FALSE
2018-05-28 11:25:59,0,FALSE,,"Buffer",2081,9176,3342,26,35631,FALSE,FALSE
2018-05-28 11:11:52,0,FALSE,,"Twitter for Android",12678,48,181,0,8500,FALSE,FALSE
2018-05-28 09:07:33,0,FALSE,"Dxni96","Twitter for iPhone",15895,379,104,1,12467,FALSE,FALSE
2018-05-28 09:51:10,0,FALSE,,"Twitter for iPhone",13828,1236,1210,0,22294,FALSE,FALSE
2018-05-28 10:30:46,0,FALSE,,"TweetDeck",91,6148,54,71,40096,FALSE,FALSE
2018-05-28 10:27:54,1,FALSE,,"TweetDeck",3772,79653,643,878,37036,TRUE,TRUE
2018-05-28 09:22:37,1,FALSE,,"Twitter Web Client",615,17,334,0,1389,FALSE,TRUE
2018-05-28 11:21:17,0,FALSE,,"IFTTT",4895,2208,1627,66,30580,FALSE,FALSE
2018-05-28 11:10:14,0,FALSE,,"Twitter for Android",3393,186,673,1,4426,FALSE,FALSE
2018-05-28 10:49:44,0,FALSE,,"Twitter for Android",37990,639,928,3,10934,FALSE,FALSE
2018-05-28 10:06:05,0,FALSE,"AgusBilello","Twitter for Android",9476,282,214,0,12894,FALSE,FALSE
